No.,도메인,세부 도메인,의도 (Intention),문장
462,비상 제어,보험사 연락,자동 보험사 연락,자동으로 보험사랑 연락 할 수 있길 원해.
463,비상 제어,차량 비상 정지,비상 정지 모드 끄기,비상 정지 기능 그만 사용 할래.
464,비상 제어,보험사 연락,자동 보험사 연락,보험사에 자동으로 전화 걸어 보자.
465,비상 제어,보험사 연락,자동 보험사 연락,자동으로 보험사에 컨택트 해 줘.
466,차량 제어,좌석 제어,좌석 온도 내리기,내 의자는 온도 낮춰 주라.
467,주행 정보,주행 기록,자율 주행 주행 기록,어디서 자율 주행했는지 기록 보여 줘.
468,차선 제어,갓길 이동 정차,갓길 이동 명령,차에서 연기가 나는데 잠깐 갓길로 이동해 줘.
469,차량 제어,운전 제어,일자 따라 가기,앞 차 가는 길 똑같이 달려 줘.
470,차선 제어,차선 변경,오른쪽으로 차선 변경,이제 오른 편 차선을 이용하도록 해.
471,비상 제어,보험사 연락,자동 보험사 연락,보험사에 자동으로 연락가게 해.
472,차량 제어,좌석 제어,좌석 통풍 제어,차 시트별로 통풍되게 만들어 줄래?
473,차량 제어,공조 제어,히터 켜기,히터 틀어서 찬 기운 없애 줘.
474,비상 제어,보험사 연락,자동 보험사 연락,보험사와 얘기 나눌 수 있게 해 줘.
475,차량 제어,도어 제어,뒷자리 차문 열기,목적이 도달 했을 때 뒷자리 차문 열어 줘.
476,차량 제어,창문 제어,조수석 창문 열기,사진 찍게 조수석 창문 내려 줘.
477,차량 제어,속도 제어,주행 속도 세팅,속도 설정 평균으로 부탁할 게.
478,차량 제어,공조 제어,히터 끄기,히터 그만 쐴래.
479,차량 제어,속도 제어,주행 속도 세팅,느린 것 같으니 속도를 올려.
480,차량 제어,공조 제어,에어컨 끄기,에어컨 사용 종료.
481,차량 제어,속도 제어,주행 속도 세팅,오늘 시속 팔십 킬로미터까지만 세팅해 줄래?
482,차량 제어,긴급 차량,에스오에스차량 양보,구급차부터 보내 주행 부탁할게.
483,비상 제어,보험사 연락,자동 보험사 연락,긴급 상황일 때 보험회사에 전화 해.
484,차량 제어,공조 제어,히터 제어,히터 바람 최대로 해 줘.
485,주행 정보,속도 확인,자율 주행 속도 확인,여태까지 자율 주행 속도 얼마였어?
486,비상 제어,보험사 연락,자동 보험사 연락,자동으로 보험사 호출해 주세요.
487,차량 제어,자율 주행 시작,자율 주행 모드 시작,고속도로 통과 후 자율 주행 모드 실시해 줘.
488,차량 제어,공조 제어,에어컨 제어,에어컨 온도 상향시켜 줘.
489,차량 제어,긴급 차량,에스오에스차량 양보,소방차 급한 것 같으니 양보해 줘.
490,차량 제어,운전 제어,일자 따라 가기,앞 차가 가는 곳으로 가자.
491,비상 제어,차량 비상 정지,비상 정지 모드 켜기,육십 초 이상 비상 정지 기능 활성화해 줘.
492,차량 제어,운전 제어,일자 추월,차선 변경해서 앞 차 추월해.
493,차량 제어,자율 주행 시작,자율 주행 모드 종료,자율 주행 모드 이제 그만해.
494,차량 제어,창문 제어,시동석 창문 열기,사이드미러 잘 안 보이네 시동석 창문 내려서 확인할래.
495,차량 제어,자율 주행 시작,자율 주행 모드 시작,자율 주행 모드 온 부탁해.
496,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상 정지 모드 당장 켜야 해.
497,차선 제어,차선 변경,오른쪽으로 차선 변경,차선 우회전해서 이동해 줘.
498,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,지금 자율 주행 위험해?
499,차선 제어,차선 변경,오른쪽으로 차선 변경,차선 변경할 때 오른쪽으로 가 줘.
500,차량 제어,긴급 차량,에스오에스차량 양보,바로 뒤에 보이는 앰뷸런스 양보해 줘.
501,차선 제어,갓길 이동 정차,갓길 이동 명령,너무 몸이 뻐근한데 갓길에 잠깐 세워 줘.
502,차량 제어,운전 제어,일자 추월,속도 올려서 저 차보다 앞에 가.
503,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드 지금 켜 줄래?
504,차선 제어,갓길 이동 정차,갓길 이동 명령,앞에 보이는 갓길에 차 대 줘.
505,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행으로 이동한 총 킬로미터 수 알려 줘.
506,차량 제어,좌석 제어,좌석 통풍 끄기,좌석 통풍 잠시 꺼 줄래?
507,차선 제어,차선 변경,왼쪽으로 차선 변경,차선 왼쪽으로 끼어 들어가 주겠니?
508,차량 제어,운전 제어,일자 추월,지금 앞에 보이는 차 뒤까지 추월 할 수 있어요?
509,비상 제어,보험사 연락,자동 보험사 연락,다른 차랑 부딪힌 거 보험회사한테 연락 좀 해 줄래?
510,차량 제어,도어 제어,뒷자리 차문 닫기,뒷자리 차 문 안닫혔으면 좀 닫아 줘.
511,차량 제어,도어 제어,전체 차문 닫기,고속 주행시 모든 문 잠궈 줘.
512,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에 잠시 멈춰야 해.
513,차량 제어,공조 제어,히터 켜기,히터 틀어 줄래?
514,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 주행 기록 갖고 있니?
515,차량 제어,좌석 제어,좌석 통풍 제어,좌석 통풍 약하게 켜 줘.
516,비상 제어,보험사 연락,자동 보험사 연락,접촉이나 충돌 사고 발생 시 보험사에 연락해 줘.
517,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행이 가능한지 분석해 줘.
518,차량 제어,속도 제어,주행 속도 세팅,주행 속도 육십 넘지 말아 줘.
519,차량 제어,공조 제어,히터 켜기,히터 쐬기.
520,차량 제어,좌석 제어,좌석 온도 내리기,좌석 온도 너무 뜨거우니 낮춰 줄래?
521,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 기록 중에 가장 빠른 속도가 얼마야?
522,주행 정보,속도 확인,자율 주행 속도 확인,지금 자율 주행 속도 육십 쯤 되나?
523,차량 제어,좌석 제어,좌석 온도 내리기,조수석 온도만 살짝 떨어뜨려 줘.
524,차량 제어,자율 주행 시작,자율 주행 모드 시작,자율 주행 모드 올려 줘.
525,차량 제어,공조 제어,히터 끄기,덥다 히터 꺼라.
526,차량 제어,속도 제어,주행 속도 세팅,다시 얘기할 때까지 시속 팔십에 고정해 놔.
527,비상 제어,차량 비상 정지,비상 정지 모드 끄기,비상 정지 모드 이제 켜 줄래?
528,차량 제어,창문 제어,조수석 창문 닫기,냄새 들어와 조수석 창문 닫아.
529,차선 제어,갓길 이동 정차,갓길 이동 명령,근처에 차 세워야 돼.
530,차량 제어,운전 제어,일자 추월,앞 차보다 빨리 속도 올려서 넘기자.
531,차량 제어,도어 제어,전체 차문 열기,흡연하게 전 좌석 차 문 열어 줘.
532,차선 제어,차선 변경,왼쪽으로 차선 변경,왼쪽 차선으로 가는 게 나을 거 같아.
533,차량 제어,도어 제어,뒷자리 차문 열기,뒷문은 다 열어 줄래요?
534,차량 제어,속도 제어,주행 속도 세팅,주행 속도 팔십으로 선택할래.
535,주행 정보,주행 기록,자율 주행 주행 기록,최근 자율 주행 모드 주행 기록 사항 알려 줘.
536,차량 제어,긴급 차량,에스오에스차량 양보,지금 뒤에 따라온 구급차 먼저 보내.
537,차량 제어,공조 제어,에어컨 제어,에어컨 너무 약해.
538,차량 제어,공조 제어,히터 끄기,너무 건조해 히터 꺼 줘.
539,차량 제어,공조 제어,히터 끄기,히터 아예 꺼 줘요.
540,차량 제어,공조 제어,히터 켜기,히터 사용 여기까지 해.
541,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,지금 자율 주행 가능한가?
542,차량 제어,공조 제어,히터 켜기,공기 데워 줘.
543,차량 제어,공조 제어,히터 제어,히터 바람 약하게 맞춰 줘.
544,차량 제어,도어 제어,뒷자리 차문 열기,뒷자리 차 문이 안 열려.
545,차량 제어,창문 제어,시동석 창문 열기,시동석 창문도 열어야겠다 이제.
546,차량 제어,운전 제어,일자 추월,앞에 에스유브이 차량 추월해서 가 줘.
547,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행이 돼?
548,차량 제어,도어 제어,전체 차문 열기,모두 내릴 수 있게 문을 열라.
549,차량 제어,도어 제어,뒷자리 차문 열기,뒷 문 좀 열까?
550,차량 제어,운전 제어,일자 추월,앞 차를 제쳐 줘.
551,차선 제어,차선 변경,오른쪽으로 차선 변경,사고 안 나게 조심해서 오른쪽으로 차선 변경해.
552,차량 제어,긴급 차량,에스오에스차량 양보,긴급 차량한테 양보 운전해.
553,차량 제어,공조 제어,히터 끄기,히터 그만 멈춰.
554,비상 제어,차량 비상 정지,비상 정지 모드 끄기,잠깐 비상 정지 모드 꺼 봐.
555,차선 제어,갓길 이동 정차,갓길 이동 명령,주변 갓길에 차 정차해 줘.
556,차량 제어,속도 제어,주행 속도 세팅,주행 속도 도로 평균 속도에 맞춰.
557,차량 제어,운전 제어,일자 따라 가기,앞 차 따라 가기 모드.
558,비상 제어,보험사 연락,자동 보험사 연락,보험사에 연락과 동시에 현재 위치를 공유해 줘.
559,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 모드 활성화 가능한지 알아봐 줘.
560,차량 제어,창문 제어,전체 창문 열기,창문 전체 다 열자.
561,차량 제어,도어 제어,조수석 차문 닫기,조수석 차 문 열지 못하게 잠가 줘.
562,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드 유지해 줘.
563,차량 제어,좌석 제어,좌석 온도 제어,좌석 온도 오토로 전환해 줘.
564,차량 제어,도어 제어,조수석 차문 열기,십분 후에 차 문 열어 줘.
565,차선 제어,갓길 이동 정차,갓길 이동 명령,지금 갓길로 차 옮겨 줘.
566,차량 제어,도어 제어,뒷자리 차문 열기,뒷 문이 안열려 열어 줘.
567,차량 제어,속도 제어,주행 속도 세팅,도로 속도에 맞게 운전 속도 세팅 시작해 줄래?
568,차량 제어,좌석 제어,좌석 통풍 켜기,좌석 통풍 시스템 필요해.
569,차량 제어,도어 제어,전체 차문 열기,잠긴 문 있으면 열어 줘.
570,주행 정보,주행 기록,자율 주행 주행 기록,두 달 전 자율 주행했던 루트 알려 줘.
571,차량 제어,공조 제어,히터 끄기,히터 끄고 싶어.
572,차량 제어,긴급 차량,에스오에스차량 양보,앰뷸런스 먼저 보낼래.
573,차량 제어,창문 제어,조수석 창문 열기,조수석 창문 내려라.
574,차량 제어,속도 제어,주행 속도 세팅,주행 속도 육십 킬로미터로 맞춰서 움직여 줘.
575,차량 제어,속도 제어,주행 속도 세팅,속도는 육십 이상이 되지 않게 해 줘.
576,차량 제어,긴급 차량,에스오에스차량 양보,에스오에스 차량 양보하자.
577,비상 제어,보험사 연락,자동 보험사 연락,다이렉트로 보험사랑 통화 시켜 줘.
578,주행 정보,속도 확인,자율 주행 속도 확인,시속 몇 킬로미터로 주행 중인지 측정 후 알려 줘.
579,차량 제어,긴급 차량,에스오에스차량 양보,뒤의 앰뷸런스에 양보해 주세요.
580,차량 제어,좌석 제어,좌석 온도 올리기,운전석 앉기엔 너무 차가워.
581,차량 제어,운전 제어,일자 따라 가기,앞 차 뒤따라서 주행해 줄래?
582,차량 제어,공조 제어,히터 제어,더 따뜻하게 히터 설정해 줄래?
583,비상 제어,차량 비상 정지,비상 정지 모드 켜기,여기서 교통사고 많이 났대 비상 정지 모드 켜자.
584,차량 제어,도어 제어,뒷자리 차문 열기,시동 끄면 뒷자리 차문 잠금 풀어 줘.
585,차량 제어,도어 제어,뒷자리 차문 닫기,출발하니까 뒷자리 문 닫아 줘.
586,차량 제어,창문 제어,전체 창문 열기,모든 창문 다 살짝만 열어 줘.
587,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 가능 상황인지 확인해.
588,차량 제어,운전 제어,일자 따라 가기,앞 차가 가는 대로 똑같이 움직여.
589,차량 제어,도어 제어,전체 차문 열기,네 명 타게 차 문 전체 열어.
590,비상 제어,보험사 연락,자동 보험사 연락,담당자와 바로 통화하고 싶어.
591,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길 위에 정차해.
592,차량 제어,속도 제어,주행 속도 세팅,정지 상태에서 출발할 때는 시속 삼십 킬로미터로 출발해.
593,차량 제어,공조 제어,히터 제어,차 안을 더 따뜻하게 해 줘.
594,비상 제어,차량 비상 정지,비상 정지 모드 켜기,출발 시 비상 정지 모드로 전환해 줘.
595,비상 제어,차량 비상 정지,비상 정지 모드 끄기,지금은 천천히 가니깐 비상 정지를 꺼 줘.
596,주행 정보,주행 기록,자율 주행 주행 기록,최근 주행 기록에서 평균 사용 시간 알려 줘.
597,차량 제어,공조 제어,히터 제어,히터 바람 골고루 가게 해 줘.
598,차량 제어,좌석 제어,좌석 온도 내리기,엉덩이 너무 뜨거운데 좌석 온도 조금만 낮춰 줘.
599,차량 제어,좌석 제어,좌석 통풍 켜기,여기 내 자리 통풍시켜 줄래?
600,차량 제어,공조 제어,히터 제어,히터 이 도만 높여 줘.
601,차량 제어,긴급 차량,에스오에스차량 양보,갓길에 붙어서 구급차 통과 시켜.
602,차량 제어,자율 주행 시작,자율 주행 모드 종료,자율 주행 모드 그만 마칠래.
603,비상 제어,보험사 연락,자동 보험사 연락,내 차 부딪혔어. 보험사에 바로 전화.
604,차선 제어,차선 변경,차선 변경,유턴해야 하니 일 차선으로 차선을 변경해.
605,차량 제어,좌석 제어,좌석 통풍 끄기,뒷좌석만 통풍 시트 꺼 줘요.
606,차량 제어,운전 제어,일자 따라 가기,앞 차 가는 길로 따라 주행해 줘.
607,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 지금 되나?
608,차선 제어,갓길 이동 정차,갓길 이동 명령,지금 차선에서 갓길로 차선 변경해 가 줘.
609,비상 제어,차량 비상 정지,비상 정지 모드 끄기,비상 정지 모드 꺼 줄 수 있어?
610,차선 제어,갓길 이동 정차,갓길 이동 명령,가던 길 멈추고 여기 갓길에 잠깐 멈춰봐.
611,차량 제어,창문 제어,전체 창문 닫기,전체 창문 확실하게 닫아 줄래?
612,차선 제어,차선 변경,왼쪽으로 차선 변경,왼쪽 차선으로 가는 게 좋겠어.
613,차량 제어,운전 제어,일자 따라 가기,앞 차 미행하듯 운전해.
614,차량 제어,창문 제어,시동석 창문 열기,시동석 창문이 열리도록 컨트롤 가능해?
615,차량 제어,도어 제어,전체 차문 닫기,전체 차문 아예 다 잠궈 줘.
616,차량 제어,공조 제어,에어컨 제어,에어컨 미풍으로 부탁해.
617,주행 정보,주행 기록,자율 주행 주행 기록,이번 달 자율 주행 기록 보여 줘.
618,차량 제어,공조 제어,에어컨 제어,에어컨 바람 두개 올려.
619,차량 제어,창문 제어,전체 창문 닫기,외풍 못 들어오게 창문 전부 닫아 줘.
620,차선 제어,차선 변경,오른쪽으로 차선 변경,버스 전용 차선 시작되니까 오른쪽 차선으로 붙자.
621,차량 제어,공조 제어,에어컨 제어,에어컨 더 춥게 해 줘.
622,비상 제어,보험사 연락,자동 보험사 연락,비상시 보험사 자동 전화 연결이 필요해.
623,차량 제어,좌석 제어,좌석 통풍 켜기,너무 더워서 그런데 통풍 시트 켜 주라.
624,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행하고 싶은데 도로 상황 괜찮은지 확인해 줘.
625,주행 정보,주행 기록,자율 주행 주행 기록,내가 자율 주행 얼마나 자주 사용해?
626,차량 제어,공조 제어,에어컨 제어,에어컨 지금보다 온도 낮게 해.
627,차량 제어,공조 제어,에어컨 켜기,출발 전에 실내 시원하게 에어컨 틀어.
628,비상 제어,차량 비상 정지,비상 정지 모드 켜기,사고가 발생했을 때 비상 정지 기능 실행해 줘.
629,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길로 가서 휴식해!
630,차량 제어,공조 제어,에어컨 제어,온도 낮춰 줘.
631,차량 제어,창문 제어,조수석 창문 열기,연기 나가게 조수석 창문 다 내려 줘.
632,차선 제어,갓길 이동 정차,갓길 이동 명령,휴식 필요하니 주변 갓길에 정차 바람.
633,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행할 수 있는 구간이야?
634,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,서울시에 강남 방면으로 자율 주행으로 가 줄래?
635,차선 제어,차선 유지,차선 유지 모드 켜기,차선을 왔다 갔다 하지 말고 가 줘.
636,차량 제어,도어 제어,뒷자리 차문 열기,뒤 문 열고 조금 있어 줘.
637,차량 제어,긴급 차량,에스오에스차량 양보,어디서 불났나 봐 소방차 먼저 갈 수 있게 양보해 줘.
638,차량 제어,도어 제어,전체 차문 열기,도착해야만 모든 차 문 열리게 해 줘.
639,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 맡겨도 무리 없어?
640,차량 제어,운전 제어,일자 추월,저 차 앞쪽으로 추월하자.
641,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 주행 기록 최근 일주일 치 알려 줘.
642,차량 제어,공조 제어,에어컨 제어,에어컨 온도 다운시켜.
643,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드 요청합니다.
644,차량 제어,운전 제어,일자 추월,저차 따라잡아야 하니깐 붙어 줘.
645,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행이 필요한데 도로 좀 살펴 봐.
646,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드 지금 키면 되겠다.
647,차량 제어,공조 제어,히터 끄기,이제 히터 꺼도 돼.
648,비상 제어,보험사 연락,자동 보험사 연락,차량 고장 시 자동적으로 보험사에 연락 넣어 줘.
649,차량 제어,자율 주행 시작,자율 주행 모드 시작,고속도로 타면 자율 주행 시작해 줘.
650,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에서 잠깐 쉬었다 가자.
651,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,한남 대교 자율 주행 모드 가능한지 알아봐.
652,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드에서는 앞차를 따라가 줘.
653,차량 제어,긴급 차량,에스오에스차량 양보,구급차 지나가게 도와 줘.
654,차량 제어,도어 제어,전체 차문 닫기,안전하게 전체 차문 닫아요.
655,차선 제어,갓길 이동 정차,갓길 이동 명령,문제 생기면 갓길로 이동 조치 취해 줘.
656,차량 제어,공조 제어,에어컨 제어,에어컨 날개 회전해 줘.
657,차량 제어,공조 제어,에어컨 켜기,습기를 제거하도록 에어컨을 가동해 줘.
658,차량 제어,긴급 차량,에스오에스차량 양보,경찰차에게 길을 양보해 줘야 돼.
659,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행으로 제일 멀리까지 간 게 어디야?
660,차량 제어,공조 제어,에어컨 제어,너무 춥다 에어컨 온도 좀 올려 봐.
661,차량 제어,도어 제어,전체 차문 닫기,전체 차문 열린 것 없이 다 닫아 줄 수 있겠니?
662,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 주행 기록이 어떻게 될까?
663,차량 제어,창문 제어,조수석 창문 닫기,환기 끝났는데 조수석 창문 올려 줘.
664,차량 제어,긴급 차량,에스오에스차량 양보,응급차 지나가게 차 틀어 줘.
665,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행으로 가능한 거리 좀 알려 줄래?
666,차량 제어,좌석 제어,좌석 온도 올리기,전체 시트 온도 한 단계 올려 줄래?
667,차선 제어,차선 변경,왼쪽으로 차선 변경,좌회전해야 하니까 왼쪽으로 차선 변경해 줘.
668,차량 제어,도어 제어,뒷자리 차문 열기,뒷자리 차문 열기 부탁해.
669,차선 제어,차선 변경,차선 변경,변경할 차선 후방 십 미터에 차가 없을 때 차선을 변경해.
670,차량 제어,도어 제어,전체 차문 열기,큰 물건 넣게 전체 차 문 활짝 열어주겠니?
671,차량 제어,창문 제어,시동석 창문 닫기,비 오니까 운전석 창문 올려 줘.
672,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,지금 운전할 컨디션이 아닌데 자율 주행 가능해?
673,차량 제어,좌석 제어,좌석 온도 올리기,좌석 온도 한 단계만 높여.
674,차량 제어,좌석 제어,좌석 온도 제어,시트 히터 온.
675,차량 제어,운전 제어,일자 추월,앞 차 불안한데 추월해서 지나가자.
676,주행 정보,주행 기록,자율 주행 주행 기록,저번 달 자율 주행 얼마나 썼는지 보여 줘.
677,차량 제어,운전 제어,일자 추월,앞 차를 추월할 때는 안쪽 차선으로 추월해 줘.
678,차량 제어,긴급 차량,에스오에스차량 양보,에스오에스 차량에 차선 양보해.
679,비상 제어,보험사 연락,자동 보험사 연락,외부 충격이 있을 즉시 보험사 자동 연락 설정.
680,비상 제어,보험사 연락,자동 보험사 연락,보험사와 자동으로 연결될 수 있는 상황으로 만들어.
681,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행으로 달린 거리 재 주겠니?
682,차량 제어,도어 제어,전체 차문 닫기,지금 문 다 닫아 줄래?
683,차량 제어,운전 제어,일자 추월,앞 차 추월 모드.
684,차량 제어,긴급 차량,에스오에스차량 양보,구급차가 지나갈 수 있게 유의해.
685,차량 제어,창문 제어,전체 창문 닫기,전체 창문 반만 닫아 줘
686,차량 제어,운전 제어,일자 따라 가기,지금 앞에 있는 승용차 따라서 쭉 주행해 줘.
687,차량 제어,자율 주행 시작,자율 주행 모드 종료,자율 주행 모드 작동 안 되게 해.
688,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 평균 운행 시간대 알려 줘.
689,차량 제어,운전 제어,일자 따라 가기,앞 차 따라 가기 온.
690,차선 제어,차선 변경,왼쪽으로 차선 변경,좌회전 차선으로 진입해 줘.
691,차량 제어,좌석 제어,좌석 통풍 켜기,좌석에 통풍이 되도록 해.
692,차량 제어,자율 주행 시작,자율 주행 모드 시작,자율 주행 모드 온으로 전환 후 실행.
693,차량 제어,좌석 제어,좌석 온도 올리기,운전석 시트 따뜻이 해 줘.
694,비상 제어,보험사 연락,자동 보험사 연락,자동으로 보험사랑 연결 되냐?
695,차량 제어,운전 제어,일자 추월,앞 차 추월이 필요해.
696,차량 제어,공조 제어,히터 제어,히터 온도 확 올려 봐.
697,차량 제어,속도 제어,주행 속도 세팅,주행 속도 시속 팔십으로 해 줘.
698,차량 제어,공조 제어,에어컨 끄기,춥다 이제 에어컨 꺼.
699,주행 정보,주행 기록,자율 주행 주행 기록,내가 언제 자율 주행을 했지?
700,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에 차 세울 수 있게 도와 줘.
701,차량 제어,속도 제어,주행 속도 세팅,지금 주행 속도 시속 팔십 킬로미터로 설정해 줄래?
702,비상 제어,보험사 연락,자동 보험사 연락,사고가 발생하면 보험사로 곧장 전화 걸어 줄래?
703,비상 제어,보험사 연락,자동 보험사 연락,교통사고 나면 보험회사에 연결해 줘.
704,차량 제어,속도 제어,주행 속도 세팅,속도 세팅 부탁해요.
705,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 가능 여부 좀 부탁해요.
706,차량 제어,자율 주행 시작,자율 주행 모드 시작,자율 주행 모드 켜볼래.
707,차량 제어,좌석 제어,좌석 통풍 켜기,옆 시트 통풍 기능 실행.
708,차선 제어,갓길 이동 정차,갓길 이동 명령,잠깐 차 좀 세워 줄래?
709,차량 제어,공조 제어,히터 제어,히터 온도를 내려서 틀어 주라.
710,차량 제어,좌석 제어,좌석 통풍 켜기,좌석 통풍될까?
711,차량 제어,공조 제어,에어컨 켜기,습하니까 에어컨 좀 켜 줘.
712,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 기록 읽어 줘.
713,차량 제어,창문 제어,시동석 창문 열기,운전석 창문 다 내려 줘.
714,차량 제어,공조 제어,에어컨 제어,에어컨 바람 약풍으로 해.
715,차량 제어,긴급 차량,에스오에스차량 양보,구급차한테 길 만들어 줘.
716,차량 제어,공조 제어,에어컨 끄기,감기 걸릴 것 같아 에어컨 좀 꺼 줘.
717,주행 정보,주행 기록,자율 주행 주행 기록,이 월 이 일에 자율 주행으로 어디 갔는지 확인해 줘.
718,차선 제어,차선 변경,오른쪽으로 차선 변경,오른쪽 차선 타 줘.
719,차량 제어,도어 제어,조수석 차문 열기,내릴거야 조수석 차 문 열어.
720,차선 제어,차선 유지,차선 유지 모드 켜기,차선 유지 모드 킨 상태로 주행해.
721,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,당장 자율 주행하고 싶은데 도로 상황을 모르겠네 알려 줄래?
722,차량 제어,긴급 차량,에스오에스차량 양보,긴급 차량 오면 양보해.
723,차량 제어,긴급 차량,에스오에스차량 양보,일일구 구급대 차량 양보해 줘.
724,비상 제어,보험사 연락,자동 보험사 연락,알아서 보험회사랑 연결해 줘.
725,차선 제어,갓길 이동 정차,갓길 이동 명령,지금 제일 가까운 갓길에 차 멈춰 줘.
726,비상 제어,보험사 연락,자동 보험사 연락,보험사로 자동 전화 연결 설정해 줘.
727,차량 제어,운전 제어,일자 따라 가기,앞에 가는 그랜저 계속 따라 가 줘.
728,주행 정보,주행 기록,자율 주행 주행 기록,오전 두 시 자율 주행 속도 확인해 줘.
729,차량 제어,공조 제어,에어컨 켜기,차 안 온도 낮추게 에어컨 틀어 줘.
730,차량 제어,공조 제어,에어컨 제어,에어컨 바람 몸 하고 얼굴 쪽으로 전환해 줘.
731,차량 제어,자율 주행 시작,자율 주행 모드 시작,자율 주행 모드 시작하고 싶어.
732,비상 제어,차량 비상 정지,비상 정지 모드 끄기,비상 정지 모드 스톱.
733,비상 제어,보험사 연락,자동 보험사 연락,대전에서 서울까지 이동 중에 사고가 나면 보험사한테 자동으로 연락해 줘.
734,차량 제어,운전 제어,일자 추월,앞 차 지나쳐서 추월해 줘.
735,차량 제어,속도 제어,주행 속도 세팅,규정 속도에 맞게 주행하고 있는지 확인해 줘.
736,차량 제어,자율 주행 시작,자율 주행 모드 시작,자율 주행 모드 상태는 온으로 턴.
737,차량 제어,운전 제어,일자 따라 가기,앞 차 똑같이 따라 가.
738,차량 제어,도어 제어,전체 차문 열기,전체 차 문 미리 오픈 부탁해.
739,비상 제어,차량 비상 정지,비상 정지 모드 켜기,비상 정지 기능 스위치 켜 줘.
740,주행 정보,주행 기록,자율 주행 주행 기록,자율 주행 기록 보는 법 안내해.
741,차선 제어,갓길 이동 정차,갓길 이동 명령,갓길에 차 좀 대.
742,차량 제어,긴급 차량,에스오에스차량 양보,에스오에스 차량이 빨리 갈 수 있게 옆으로 빠져.
743,차량 제어,속도 제어,주행 속도 세팅,시속 오십으로 운행합시다.
744,차량 제어,속도 제어,주행 속도 세팅,천천히 가자.
745,차량 제어,좌석 제어,좌석 온도 제어,뒷좌석 빼고 온도 제어 기능 가동해.
746,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 모드 작동 여부 어때?
747,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,이 구간 자율 주행 가능한지 알아봐 주겠니?
748,차량 제어,자율 주행 시작,자율 주행 모드 종료,고속도로를 빠져 나가면 자율 주행 모드를 종료해 줘.
749,차량 제어,공조 제어,에어컨 제어,에어컨 온도 지금보다 높여야겠다.
750,차량 제어,공조 제어,히터 제어,히터 날개 오른쪽으로 돌려 줘.
751,차량 제어,도어 제어,뒷자리 차문 닫기,뒷자리 도어 닫은 상태로 보호해 줘.
752,주행 정보,주행 기록,자율 주행 주행 기록,가장 최근 자율 주행 몇 킬로미터 운행했어?
753,차량 제어,운전 제어,일자 추월,차선 이동해서 앞지르기해 줘.
754,차량 제어,도어 제어,전체 차문 열기,세차하게 전체 차 문 다 열어 줘.
755,차량 제어,긴급 차량,에스오에스차량 양보,구급차의 앞 길을 막지 말자.
756,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행 모드가 이용 가능한지를 알아야겠어.
757,주행 정보,자율 주행 가능 여부,자율 주행 가능 여부 확인,자율 주행해도 될지 확인 가능해?
